COLLEGE_COMPETITOR_ID,COLLEGE_UUID,COLLEGE_NAME,COMPETITOR_UUID,COMPETITOR_NAME,COMPETITOR_SET_NAME,COMPETITOR_SET_DESCRIPTION,COMPETITOR_SET_PRIORITY
1,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,09e8cd9a-f401-4c8b-a79c-f02e10ac0201,University of California - Berkeley,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
2,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,0e72bf23-a3cf-4995-9585-33b5bd0f9222,Middlebury College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
3,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,127ec524-4bac-4a5c-a7f5-1ead9c309f44,Amherst College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
4,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,1a78b6e5-fe24-443a-967d-40079fd070ff,Pomona College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
5,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,1d1d82cf-c659-49f0-a526-7afb85bd3a4f,University of California - Los Angeles,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
6,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,20d662be-8428-4de2-bf0d-72d22f0a04b5,Harvey Mudd College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
7,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,271075b3-07a0-450b-b4f3-78eb1fc7c03a,Haverford College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
8,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,2c036559-5ebb-4c00-b3b8-6679a91fb040,Bates College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
9,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,36c0c543-fda9-46a8-9e7d-03cc4805862f,Bowdoin College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
10,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,465d4a73-875c-498e-9c8f-e47568e156f2,Williams College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
11,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,5c9ab696-de0e-4271-8bf4-163137359704,Willamette University,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
12,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,65921618-05b4-4f95-ad8a-883b92dc9a77,St John's College - Santa Fe,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
13,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,6d81d181-4b7b-434c-bf08-669079673e7c,University of Colorado Boulder,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
14,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,891f20e2-4b6f-4626-83f3-15d502b2e7c1,Swarthmore College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
15,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,8ccaa673-b878-4654-a1cb-d11c55174936,Northwestern University,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
16,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,a1541d26-e31e-4935-91a6-bace82415430,Pitzer College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
17,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,aab81765-0dc0-4f7e-ac15-280590baed68,Colorado College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
18,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,ad03b8e1-d0a1-41d6-a01a-aaf75ac1e615,Scripps College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
19,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,bbb471e1-f21d-4278-83a4-c97222ee902d,Macalaster College,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
20,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,c9a51b75-93aa-4d2a-9dc3-10abab61d1eb,Occidental College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
